,ID_current,found_bccwj_file,found_bccwj_start,wrong,correct_bccwj_file,correct_bccwj_start,match_score,levenshtein
194,5_BCCWJ-ABC-ac-simple,LBi4_00041,52670.0,NaN,NaN,NaN,217.1381757,0.0
195,6_BCCWJ-ABC-ac-simple,LBe7_00008,45200.0,NaN,NaN,NaN,348.5656176,0.0
196,7_BCCWJ-ABC-ac-simple,LBg9_00081,30480.0,NaN,NaN,NaN,172.5984419,17.0
197,8_BCCWJ-ABC-ac-simple,LBo9_00173,12080.0,NaN,NaN,NaN,317.9627693,1.0
198,9_BCCWJ-ABC-ac-simple,LBe9_00153,5680.0,NaN,NaN,NaN,330.033786,0.0
199,10_BCCWJ-ABC-ac-simple,LBf7_00017,9300.0,NaN,NaN,NaN,213.7967453,0.0
200,11_BCCWJ-ABC-ac-simple,LBi2_00027,24760.0,NaN,NaN,NaN,298.1492748,0.0
201,12_BCCWJ-ABC-ac-simple,LBo9_00061,47570.0,NaN,NaN,NaN,191.7075616,10.0
202,13_BCCWJ-ABC-ac-simple,LBln_00027,28390.0,NaN,NaN,NaN,310.381483,0.0
203,14_BCCWJ-ABC-ac-simple,LBi7_00001,77380.0,NaN,NaN,NaN,206.5285362,0.0
204,15_BCCWJ-ABC-ac-simple,LBi2_00047,43520.0,NaN,NaN,NaN,289.9729717,0.0
205,16_BCCWJ-ABC-ac-simple,LBq6_00008,66150.0,False,LBk9_00074,25780.0,40.66771729,18.0
206,17_BCCWJ-ABC-ac-simple,LBc7_00024,55110.0,NaN,NaN,NaN,350.7924978,0.0
207,18_BCCWJ-ABC-ac-simple,LBk3_00019,1980.0,NaN,NaN,NaN,218.7552911,1.0
208,19_BCCWJ-ABC-ac-simple,LBd4_00028,13190.0,NaN,NaN,NaN,381.2699499,1.0
209,20_BCCWJ-ABC-ac-simple,LBd9_00093,56980.0,NaN,NaN,NaN,182.374645,0.0
210,21_BCCWJ-ABC-ac-simple,LBl9_00158,12630.0,NaN,NaN,NaN,299.1323211,1.0
211,22_BCCWJ-ABC-ac-simple,LBg4_00009,4560.0,NaN,NaN,NaN,282.1459351,0.0
212,23_BCCWJ-ABC-ac-simple,LBn3_00047,69180.0,NaN,NaN,NaN,323.7390824,0.0
213,24_BCCWJ-ABC-ac-simple,LBo7_00003,10890.0,NaN,NaN,NaN,226.8959954,3.0
214,25_BCCWJ-ABC-ac-simple,LBe9_00113,280.0,NaN,NaN,NaN,125.691781,1.0
215,26_BCCWJ-ABC-ac-simple,LBe2_00051,28540.0,NaN,NaN,NaN,288.9337093,0.0
216,27_BCCWJ-ABC-ac-simple,LBg1_00028,33700.0,NaN,NaN,NaN,325.4595311,0.0
217,28_BCCWJ-ABC-ac-simple,LBl9_00093,7780.0,NaN,NaN,NaN,301.351941,0.0
218,29_BCCWJ-ABC-ac-simple,LBd2_00030,79340.0,NaN,NaN,NaN,268.5165812,0.0
219,30_BCCWJ-ABC-ac-simple,LBo9_00204,530.0,NaN,NaN,NaN,275.6468474,0.0
220,31_BCCWJ-ABC-ac-simple,LBh9_00225,40770.0,NaN,NaN,NaN,271.3905674,1.0
221,32_BCCWJ-ABC-ac-simple,LBg1_00017,80320.0,NaN,NaN,NaN,333.0783391,0.0
222,33_BCCWJ-ABC-ac-simple,LBm3_00146,21030.0,NaN,NaN,NaN,285.3391133,0.0
223,34_BCCWJ-ABC-ac-simple,LBj1_00022,53570.0,NaN,NaN,NaN,390.2868831,0.0
224,35_BCCWJ-ABC-ac-simple,LBl5_00046,80230.0,NaN,NaN,NaN,193.9446114,1.0
225,36_BCCWJ-ABC-ac-simple,LBk9_00070,9470.0,NaN,NaN,NaN,264.9995739,2.0
226,37_BCCWJ-ABC-ac-simple,LBj3_00104,21010.0,NaN,NaN,NaN,270.494637,0.0
227,38_BCCWJ-ABC-ac-simple,LBg7_00021,95800.0,NaN,NaN,NaN,387.4634907,0.0
228,39_BCCWJ-ABC-ac-simple,LBm7_00038,11390.0,NaN,NaN,NaN,343.7309943,0.0
229,40_BCCWJ-ABC-ac-simple,LBo9_00240,4640.0,NaN,NaN,NaN,217.409356,1.0
230,41_BCCWJ-ABC-ac-simple,LBk9_00222,19420.0,NaN,NaN,NaN,129.3843834,18.0
231,42_BCCWJ-ABC-ac-simple,LBh2_00013,42180.0,NaN,NaN,NaN,281.1440238,0.0
232,43_BCCWJ-ABC-ac-simple,LBo9_00152,340.0,NaN,NaN,NaN,312.8152788,0.0
233,44_BCCWJ-ABC-ac-simple,LBi9_00183,39840.0,NaN,NaN,NaN,223.8367809,0.0
234,45_BCCWJ-ABC-ac-simple,LBn3_00016,17380.0,NaN,NaN,NaN,281.4447056,0.0
235,46_BCCWJ-ABC-ac-simple,LBl9_00095,39260.0,NaN,NaN,NaN,173.4186354,4.0
236,47_BCCWJ-ABC-ac-simple,LBd9_00102,63740.0,NaN,NaN,NaN,230.4086386,1.0
237,48_BCCWJ-ABC-ac-simple,LBo5_00049,19320.0,NaN,NaN,NaN,222.4060622,0.0
238,49_BCCWJ-ABC-ac-simple,NaN,NaN,NaN,LBf9_00143,32580.0,0.0,NaN
239,51_BCCWJ-ABC-ac-simple,LBn4_00003,34130.0,NaN,NaN,NaN,229.5762622,0.0
240,52_BCCWJ-ABC-ac-simple,LBg4_00008,63980.0,NaN,NaN,NaN,98.16624628,1.0
241,53_BCCWJ-ABC-ac-simple,LBj9_00040,27790.0,NaN,NaN,NaN,304.6813277,1.0
242,54_BCCWJ-ABC-ac-simple,LBl3_00093,7920.0,NaN,NaN,NaN,304.8071912,0.0
243,55_BCCWJ-ABC-ac-simple,LBi8_00008,89630.0,NaN,NaN,NaN,269.7812627,0.0
244,56_BCCWJ-ABC-ac-simple,LBn3_00008,19940.0,NaN,NaN,NaN,278.6627994,0.0
